epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8033,0,100.699,0,0,0,0,0,0,187.313,0,0.0001818,0.0001818,0.0001818
2,160.485,0,88.0634,0,0,0,0,0,0,2618.74,0,0.000369,0.000369,0.000369
3,241.25,0,79.4024,0,0,0,0,0,0,140.609,0,0.000552421,0.000552421,0.000552421
4,318.52,0,72.914,0,0,0,0,0,0,1250.06,0,0.000732062,0.000732062,0.000732062
5,396.852,0,65.0356,0,0,0,0,0,0,11299.1,0,0.000873004,0.000873004,0.000873004
6,476.204,0,55.6632,0,0,0,0,0,0,94.5607,0,0.000864004,0.000864004,0.000864004
7,557.246,0,45.9354,0,0,0,0,0,0,72.9893,0,0.000855005,0.000855005,0.000855005
8,635.218,0,37.6555,0,0,0,0,0,0,57.4455,0,0.000846006,0.000846006,0.000846006
9,714.468,0,30.2868,0,0,0,0,0,0,46.2757,0,0.000837007,0.000837007,0.000837007
10,792.688,0,24.0266,0,0,0,0,0,0,37.6237,0,0.000828008,0.000828008,0.000828008
11,870.398,0,18.8208,0,0,0,0,0,0,29.7994,0,0.000819009,0.000819009,0.000819009
12,947.74,0,14.6508,0,0,0,0,0,0,22.4077,0,0.00081001,0.00081001,0.00081001
13,1025.62,0,11.2592,0,0,0,0,0,0,17.71,0,0.000801011,0.000801011,0.000801011
14,1104.12,0,8.57513,0,0,0,0,0,0,13.3886,0,0.000792012,0.000792012,0.000792012
15,1181.92,0,6.46485,0,0,0,0,0,0,10.2472,0,0.000783013,0.000783013,0.000783013
16,1259.56,0,4.83977,0,0,0,0,0,0,7.63584,0,0.000774013,0.000774013,0.000774013
17,1337.14,0,3.60034,0,0,0,0,0,0,5.70056,0,0.000765014,0.000765014,0.000765014
18,1413.99,0,2.66046,0,0,0,0,0,0,4.12128,0,0.000756015,0.000756015,0.000756015
19,1491.75,0,1.93557,0,0,0,0,0,0,3.07523,0,0.000747016,0.000747016,0.000747016
20,1568.45,0,1.42639,0,0,0,0,0,0,2.10211,0,0.000738017,0.000738017,0.000738017
21,1645.86,0,1.00532,0,0,0,0,0,0,1.56665,0,0.000729018,0.000729018,0.000729018
22,1722.54,0,0.77133,0,0,0,0,0,0,1.27643,0,0.000720019,0.000720019,0.000720019
23,1802.04,0,0.61599,0,0,0,0,0,0,0.88927,0,0.00071102,0.00071102,0.00071102
24,1879.45,0,0.33961,0,0,0,0,0,0,0.38231,0,0.000702021,0.000702021,0.000702021
25,1957.72,0,0.18085,0,0,0,0,0,0,0.26241,0,0.000693022,0.000693022,0.000693022
26,2035.82,0,0.13165,0,0,0,0,0,0,0.1909,0,0.000684022,0.000684022,0.000684022
27,2396.21,0,0.10415,0,0,0,0,0,0,0.14434,0,0.000675023,0.000675023,0.000675023
28,2656.37,0,0.0676,0,0,0,0,0,0,0.05731,0,0.000666024,0.000666024,0.000666024
