epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1769,0,100.699,0,0,0,0,0,0,187.313,0,0.0001818,0.0001818,0.0001818
2,128.582,0,88.2147,0,0,0,0,0,0,161.747,0,0.000360391,0.000360391,0.000360391
3,222.238,0,79.288,0,0,0,0,0,0,142.291,0,0.000526384,0.000526384,0.000526384
4,311.574,0,72.4106,0,0,0,0,0,0,121.44,0,0.000679777,0.000679777,0.000679777
5,398.11,0,64.6273,0,0,0,0,0,0,103.446,0,0.000789012,0.000789012,0.000789012
6,505.456,0,56.6586,0,0,0,0,0,0,92.2811,0,0.000759015,0.000759015,0.000759015
7,610.433,0,49.0751,0,0,0,0,0,0,81.9579,0,0.000729018,0.000729018,0.000729018
8,711.285,0,42.2023,0,0,0,0,0,0,71.3263,0,0.000699021,0.000699021,0.000699021
9,823.517,0,36.1213,0,0,0,0,0,0,60.3973,0,0.000669024,0.000669024,0.000669024
10,884.801,0,30.7514,0,0,0,0,0,0,52.4991,0,0.000639027,0.000639027,0.000639027
11,946.715,0,26.2055,0,0,0,0,0,0,45.9522,0,0.00060903,0.00060903,0.00060903
12,1009.79,0,22.424,0,0,0,0,0,0,38.0485,0,0.000579033,0.000579033,0.000579033
13,1073.05,0,19.1653,0,0,0,0,0,0,32.277,0,0.000549036,0.000549036,0.000549036
14,1182.99,0,16.4383,0,0,0,0,0,0,27.8811,0,0.000519039,0.000519039,0.000519039
15,1291.3,0,14.1719,0,0,0,0,0,0,24.552,0,0.000489042,0.000489042,0.000489042
16,1405.54,0,12.2676,0,0,0,0,0,0,21.8369,0,0.000459045,0.000459045,0.000459045
17,1506.09,0,10.6673,0,0,0,0,0,0,18.8948,0,0.000429048,0.000429048,0.000429048
18,1619.31,0,9.36963,0,0,0,0,0,0,17.1726,0,0.000399051,0.000399051,0.000399051
19,1734.03,0,8.28646,0,0,0,0,0,0,15.2509,0,0.000369054,0.000369054,0.000369054
20,1846.11,0,7.38043,0,0,0,0,0,0,13.5163,0,0.000339057,0.000339057,0.000339057
21,1925.38,0,6.62468,0,0,0,0,0,0,12.1976,0,0.00030906,0.00030906,0.00030906
