epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.383,0,89.9714,0,0,0,0,0,0,147.607,0,0.000300342,0.000300342,0.000300342
2,731.512,0,54.5471,0,0,0,0,0,0,76.8019,0,0.000583432,0.000583432,0.000583432
3,1057.12,0,25.0627,0,0,0,0,0,0,27.292,0,0.000846524,0.000846524,0.000846524
4,1381.24,0,6.79794,0,0,0,0,0,0,4.90961,0,0.000819009,0.000819009,0.000819009
5,1809.46,0,1.31316,0,0,0,0,0,0,0.81662,0,0.000789012,0.000789012,0.000789012
6,2433.8,0,0.12701,0,0,0,0,0,0,0.04623,0,0.000759015,0.000759015,0.000759015
7,2761.54,0,0.01238,0,0,0,0,0,0,0.00526,0,0.000729018,0.000729018,0.000729018
8,3100.01,0,8e-05,0,0,0,0,0,0,0.01118,0,0.000699021,0.000699021,0.000699021
9,3498.48,0,0,0,0,0,0,0,0,0.03479,0,0.000669024,0.000669024,0.000669024
10,3916.42,0,0,0,0,0,0,0,0,0,0,0.000639027,0.000639027,0.000639027
11,4252.55,0,0,0,0,0,0,0,0,0.63989,0,0.00060903,0.00060903,0.00060903
12,4582.4,0,0,0,0,0,0,0,0,0.8968,0,0.000579033,0.000579033,0.000579033
13,4902.46,0,0,0,0,0,0,0,0,0.5375,0,0.000549036,0.000549036,0.000549036
14,5221.88,0,0,0,0,0,0,0,0,1.03248,0,0.000519039,0.000519039,0.000519039
15,5541.82,0,0,0,0,0,0,0,0,0,0,0.000489042,0.000489042,0.000489042
16,5900.27,0,0,0,0,0,0,0,0,0,0,0.000459045,0.000459045,0.000459045
17,6290.59,0,0,0,0,0,0,0,0,0,0,0.000429048,0.000429048,0.000429048
18,6610.27,0,0,0,0,0,0,0,0,0.00017,0,0.000399051,0.000399051,0.000399051
19,6929.14,0,0,0,0,0,0,0,0,0.00124,0,0.000369054,0.000369054,0.000369054
20,7248.9,0,0,0,0,0,0,0,0,1e-05,0,0.000339057,0.000339057,0.000339057
21,7567.11,0,0,0,0,0,0,0,0,38.5708,0,0.00030906,0.00030906,0.00030906
22,7923.13,0,0,0,0,0,0,0,0,8.88182,0,0.000279063,0.000279063,0.000279063
23,8305.32,0,0,0,0,0,0,0,0,5.52425,0,0.000249066,0.000249066,0.000249066
24,8698.6,0,0,0,0,0,0,0,0,11.9756,0,0.000219069,0.000219069,0.000219069
25,9030.32,0,0,0,0,0,0,0,0,9.14921,0,0.000189072,0.000189072,0.000189072
26,9344.43,0,0,0,0,0,0,0,0,11.4578,0,0.000159075,0.000159075,0.000159075
27,9699.62,0,0,0,0,0,0,0,0,10.8263,0,0.000129078,0.000129078,0.000129078
28,10061.9,0,0,0,0,0,0,0,0,10.4994,0,9.9081e-05,9.9081e-05,9.9081e-05
29,10377.4,0,0,0,0,0,0,0,0,39.1184,0,6.9084e-05,6.9084e-05,6.9084e-05
30,10695.6,0,0,0,0,0,0,0,0,9.64453,0,3.9087e-05,3.9087e-05,3.9087e-05
